datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2019/01/10 03:54:00,NPP-375,Brasil,RIO DE JANEIRO,SAO GONCALO,Mata Atlantica,5,0,1,-22.8760,-42.9069,1
2019/01/10 03:54:00,NPP-375,Brasil,RIO DE JANEIRO,CABO FRIO,Mata Atlantica,13,0,1,-22.9236,-42.0534,1.5
2019/01/11 16:06:00,NPP-375,Brasil,RIO DE JANEIRO,DUQUE DE CAXIAS,Mata Atlantica,-999,0,-999,-22.6230,-43.2235,5.3
2019/01/11 16:06:00,NPP-375,Brasil,RIO DE JANEIRO,CABO FRIO,Mata Atlantica,14,0,1,-22.7686,-42.0258,3.8
2019/01/11 16:06:00,NPP-375,Brasil,RIO DE JANEIRO,SAO GONCALO,Mata Atlantica,-999,0,0.8,-22.7760,-43.0019,2.6
2019/01/11 16:06:00,NPP-375,Brasil,RIO DE JANEIRO,CABO FRIO,Mata Atlantica,14,0,1,-22.7793,-42.0218,12.9
2019/01/11 16:06:00,NPP-375,Brasil,RIO DE JANEIRO,CABO FRIO,Mata Atlantica,14,0,1,-22.7797,-42.0189,17.8
2019/01/11 16:06:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,6,0,-999,-22.8666,-43.5734,3.2
2019/01/11 16:06:00,NPP-375,Brasil,RIO DE JANEIRO,CABO FRIO,Mata Atlantica,14,0,-999,-22.9178,-42.0489,9.8
2019/01/11 03:36:00,NPP-375,Brasil,RIO DE JANEIRO,SEROPEDICA,Mata Atlantica,3,0,1,-22.6496,-43.6999,3.9
2019/01/11 16:06:00,NPP-375,Brasil,RIO DE JANEIRO,ARARUAMA,Mata Atlantica,6,0.2,1,-22.5699,-42.1826,6.1
2019/01/01 15:54:00,NPP-375,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,4,0,-999,-22.8893,-42.4636,4.3
2019/01/01 15:54:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,-999,0.1,-999,-23.0275,-43.4887,2.5
2019/01/01 15:54:00,NPP-375,Brasil,RIO DE JANEIRO,RESENDE,Mata Atlantica,2,2.1,0.5,-22.4373,-44.3837,3.1
2019/01/01 15:54:00,NPP-375,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,4,0,-999,-22.8886,-42.4658,4.2
2019/01/08 17:00:00,NPP-375,Brasil,RIO DE JANEIRO,ARARUAMA,Mata Atlantica,6,0,1,-22.8228,-42.3968,2.4
2019/01/08 17:00:00,NPP-375,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,8,0,1,-22.8302,-42.5798,8
2019/01/08 17:00:00,NPP-375,Brasil,RIO DE JANEIRO,SAO GONCALO,Mata Atlantica,-999,0,-999,-22.8440,-43.0651,9.2
2019/01/08 17:00:00,NPP-375,Brasil,RIO DE JANEIRO,SAO GONCALO,Mata Atlantica,-999,0,-999,-22.8451,-43.0706,9.2
2019/01/08 17:00:00,NPP-375,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,7,0,1,-22.8581,-42.4002,1.7
2019/01/08 17:00:00,NPP-375,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,7,0,1,-22.8702,-42.4072,2.3
2019/01/08 17:00:00,NPP-375,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,7,0,1,-22.8752,-42.4059,3.9
2019/01/08 17:00:00,NPP-375,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,8,0,1,-22.8289,-42.5738,8
2019/01/10 16:24:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,5,0,1,-22.9531,-43.7095,6.4
2019/01/06 16:00:00,NPP-375,Brasil,RIO DE JANEIRO,SANTA MARIA MADALENA,Mata Atlantica,2,0,0.1,-22.0411,-42.0440,0.9
2019/01/05 03:48:00,NPP-375,Brasil,RIO DE JANEIRO,CABO FRIO,Mata Atlantica,7,0.2,1,-22.9113,-42.0593,2.6
2019/01/05 03:48:00,NPP-375,Brasil,RIO DE JANEIRO,CABO FRIO,Mata Atlantica,7,0.2,1,-22.9119,-42.0554,2.6
2019/01/05 03:48:00,NPP-375,Brasil,RIO DE JANEIRO,CABO FRIO,Mata Atlantica,7,0.2,1,-22.9147,-42.0599,3.3
2019/01/03 16:54:00,NPP-375,Brasil,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,Mata Atlantica,5,0.1,1,-21.6918,-41.3002,8.9
2019/01/03 16:54:00,NPP-375,Brasil,RIO DE JANEIRO,RESENDE,Mata Atlantica,2,6.9,0.2,-22.4351,-44.3832,6
2019/01/03 16:54:00,NPP-375,Brasil,RIO DE JANEIRO,RESENDE,Mata Atlantica,2,6.9,0.2,-22.4381,-44.3826,4.5
2019/01/03 16:54:00,NPP-375,Brasil,RIO DE JANEIRO,SAO GONCALO,Mata Atlantica,5,0,-999,-22.8061,-42.9415,3.3
2019/01/03 16:54:00,NPP-375,Brasil,RIO DE JANEIRO,ITABORAI,Mata Atlantica,5,0,1,-22.8074,-42.9399,2.5
2019/01/03 16:54:00,NPP-375,Brasil,RIO DE JANEIRO,SEROPEDICA,Mata Atlantica,4,0.4,1,-22.8089,-43.6921,8.8
2019/01/03 16:54:00,NPP-375,Brasil,RIO DE JANEIRO,SAO GONCALO,Mata Atlantica,5,0,-999,-22.8105,-42.9406,4.7
2019/01/03 16:54:00,NPP-375,Brasil,RIO DE JANEIRO,SEROPEDICA,Mata Atlantica,5,0.4,1,-22.8131,-43.6912,23.9
2019/01/03 16:54:00,NPP-375,Brasil,RIO DE JANEIRO,SEROPEDICA,Mata Atlantica,5,0.4,1,-22.8139,-43.6954,23.9
2019/01/03 16:54:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,6,0.2,0.6,-22.8430,-43.5814,7.3
2019/01/03 16:54:00,NPP-375,Brasil,RIO DE JANEIRO,SAO GONCALO,Mata Atlantica,-999,0,-999,-22.8587,-43.0886,5.6
2019/01/03 16:54:00,NPP-375,Brasil,RIO DE JANEIRO,ITAGUAI,Mata Atlantica,5,0.3,0.8,-22.8963,-43.8085,2.4
2019/01/03 16:54:00,NPP-375,Brasil,RIO DE JANEIRO,ITAGUAI,Mata Atlantica,5,0.3,0.7,-22.9005,-43.8075,8.4
2019/01/04 16:36:00,NPP-375,Brasil,RIO DE JANEIRO,BELFORD ROXO,Mata Atlantica,-999,1.9,0.9,-22.6979,-43.3863,7.4
2019/01/04 16:36:00,NPP-375,Brasil,RIO DE JANEIRO,ARARUAMA,Mata Atlantica,4,0.1,1,-22.8056,-42.4004,2.2
2019/01/04 16:36:00,NPP-375,Brasil,RIO DE JANEIRO,SAO GONCALO,Mata Atlantica,-999,0.4,-999,-22.8583,-43.0843,2.4
2019/01/04 16:36:00,NPP-375,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,7,0.1,1,-22.8651,-42.3892,2.9
2019/01/04 16:36:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,7,1,-999,-22.8918,-43.5487,4.3
2019/01/04 16:36:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,7,1,-999,-22.8925,-43.5526,7.7
2019/01/04 16:36:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,7,0.9,-999,-22.9117,-43.6497,21.9
2019/01/04 16:36:00,NPP-375,Brasil,RIO DE JANEIRO,ARRAIAL DO CABO,Mata Atlantica,7,0.1,-999,-22.9404,-42.1886,7.8
2019/01/04 16:36:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,8,0.3,0.4,-22.9628,-43.6641,3
2019/01/04 16:36:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,8,0.3,1,-22.9640,-43.6283,2
2019/01/04 16:36:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,8,0.3,0.5,-22.9974,-43.5334,3.3
